Subject,Predicate,Object
Sean Combs,Genre,Rhythm and Blues
Georgien,diplomatische Beziehung,Weißrussland
Clint Eastwood,Tätigkeit,Filmregisseur
Rabindranath Thakur,Tätigkeit,Songschreiber
Monica,Tätigkeit,Tänzer
Felix Philipp Kanitz,Mitglied von,Serbische Akademie der Wissenschaften und Künste
Wladimir Afanassjewitsch Obrutschew,Land der Staatsangehörigkeit,Sowjetrussland
Tyrese,Tätigkeit,Filmproduzent
Kanye West,Tätigkeit,Filmregisseur
Sabrina Bryan,Tätigkeit,Filmschauspieler
Simone de Beauvoir,Sterbeort,Paris
Finnland,diplomatische Beziehung,Lettland
Tila Tequila,Tätigkeit,Schauspieler
Miguel de Unamuno,gesprochene oder publizierte Sprachen,Spanisch
Mexiko,diplomatische Beziehung,Venezuela
Zbigniew Herbert,Tätigkeit,Schriftsteller
John Ciardi,gesprochene oder publizierte Sprachen,Englisch
Enrique Iglesias,gesprochene oder publizierte Sprachen,Englisch
Fjodor Michailowitsch Dostojewski,beeinflusst von,George Sand
Jacob Grimm,Tätigkeit,Schriftsteller
Beatriz Luengo,Tätigkeit,Schauspieler
Raymond Aron,beeinflusst von,Max Weber
Julie Delpy,Tätigkeit,Musiker
Emma Goldman,gesprochene oder publizierte Sprachen,Deutsch
Joseph Fourier,Arbeitsgebiet,Mathematik
Abraham Gotthelf Kästner,Religionszugehörigkeit,Evangelisch-lutherische Kirchen
Charles Babbage,Tätigkeit,Hochschullehrer
Andy Griffith,Tätigkeit,Schriftsteller
Tara Strong,Instrument,Stimme
Jason Mraz,Genre,Jazz
Brasilien,diplomatische Beziehung,Südkorea
Douglas Adams,Tätigkeit,Dramatiker
Pjotr Iljitsch Tschaikowski,Instrument,Klavier
Carl Sagan,Tätigkeit,Schriftsteller
Alla Borissowna Pugatschowa,Tätigkeit,Sänger
Teena Marie,Genre,Disco
John Farnham,Instrument,Stimme
Ulrich von Wilamowitz-Moellendorff,Tätigkeit,Übersetzer
Richard Stallman,Tätigkeit,Science-Fiction-Schriftsteller
Chuck Berry,Todesursache,Herzinfarkt
Joss Whedon,Geburtsort,New York City
Steve Allen,Instrument,Klavier
Richard Stallman,Geburtsort,Manhattan
John Locke,gesprochene oder publizierte Sprachen,Latein
Slowenien,Amtssprache,Italienisch
Van McCoy,Tätigkeit,Dirigent
Alexander Sergejewitsch Puschkin,Geburtsort,Moskau
Robert Frost,beeinflusst von,John Keats
Alexander von Humboldt,besuchte Bildungseinrichtung,Friedrich-Schiller-Universität Jena
Carly Simon,Plattenlabel,Warner Bros. Records
Violetta Villas,Tätigkeit,Songschreiber
Tim Rose,Tätigkeit,Banjospieler
Deutschland,diplomatische Beziehung,Mali
Eugène-Melchior de Vogüé,Mitglied von,Russische Akademie der Wissenschaften
Vladimir Nabokov,Tätigkeit,Hochschullehrer
Anthony Burgess,Todesursache,Bronchialkarzinom
Milton Friedman,besuchte Bildungseinrichtung,University of Cambridge
Chris Brown,Erkrankung,Bipolare Störung
Turkmenistan,Mitglied von,Interpol
Fritz Haber,Mitglied von,Deutsche Akademie der Naturforscher Leopoldina
Max Weber,Tätigkeit,Wirtschaftswissenschaftler
Heinrich Wilhelm Waldeyer,Mitglied von,Preußische Akademie der Wissenschaften
Jemen,diplomatische Beziehung,Serbien
Leonid Maximowitsch Leonow,Mitglied von,Schriftstellerverband der UdSSR
Bob Dylan,Mitglied von,American Academy of Arts and Sciences
Nikolai Gennadijewitsch Bassow,Tätigkeit,Hochschullehrer
Estland,diplomatische Beziehung,Finnland
Mickey Rooney,Tätigkeit,Fernsehschauspieler
Henry Le Chatelier,Mitglied von,Preußische Akademie der Wissenschaften
Gore Vidal,Tätigkeit,Romancier
Emma Bunton,Tätigkeit,Singer-Songwriter
Afghanistan,Mitglied von,Internationale Finanz-Corporation
Wernher von Braun,Tätigkeit,Ingenieur
Lionel Richie,Plattenlabel,Motown
Serbien,diplomatische Beziehung,Österreich
James Brown,Genre,Gospelmusik
Suzi Quatro,Tätigkeit,Gitarrist
Ruslana Lyschytschko,Land der Staatsangehörigkeit,Ukraine
Ringo Starr,Tätigkeit,Gitarrist
Ringo Starr,Tätigkeit,Filmschauspieler
Barthold Georg Niebuhr,Land der Staatsangehörigkeit,Königreich Preußen
Jada Pinkett Smith,Tätigkeit,Songschreiber
Kosovo,diplomatische Beziehung,Deutschland
Usher,Genre,Popmusik
Vereinigte Arabische Emirate,Mitglied von,Multilaterale Investitions-Garantie-Agentur
Schweden,Mitglied von,Internationale Fernmeldeunion
Wladimir Iljitsch Lenin,Bevölkerungsgruppe,Russen
Saudi-Arabien,diplomatische Beziehung,Thailand
Toni Braxton,Tätigkeit,Musiker
Israel,diplomatische Beziehung,Katar
Roy Clark,Plattenlabel,ABC Records
Tom Hanks,Land der Staatsangehörigkeit,Griechenland
Ian McEwan,beeinflusst von,Philip Roth
Andrei Arsenjewitsch Tarkowski,Sterbeort,Paris
Jay-Z,Tätigkeit,Geschäftsmann
Fred Astaire,Bevölkerungsgruppe,Juden
Stanislao Cannizzaro,Mitglied von,Königlich Schwedische Akademie der Wissenschaften
Niger,Mitglied von,AKP-Gruppe
Charlotte Gainsbourg,Genre,Indie-Pop
Thomas Paine,Tätigkeit,Unternehmer
Mika,Tätigkeit,Songschreiber
Göttingen,Staat,Deutschland
Hulk Hogan,Tätigkeit,Fernsehmoderator
Ariana Grande,gesprochene oder publizierte Sprachen,Englisch
Donald Trump,Tätigkeit,Fernsehmoderator
Theodore von Kármán,Mitglied von,Académie des sciences
Winston Churchill,Land der Staatsangehörigkeit,Vereinigtes Königreich
Hanns Eisler,Geburtsort,Leipzig
Republik China,diplomatische Beziehung,Südsudan
Iran,Mitglied von,Internationale Finanz-Corporation
Adam Levine,Instrument,Klavier
Schweiz,Mitglied von,Internationale Entwicklungsorganisation
Will Smith,Kind,Willow Smith
Sergei Wladimirowitsch Michalkow,Tätigkeit,Publizist
Bret Michaels,Plattenlabel,Capitol Records
Alsou,Tätigkeit,Fernsehmoderator
Uruguay,Mitglied von,Interpol
Thomas Henry Huxley,Mitglied von,National Academy of Sciences
Marvin Gaye,Instrument,Stimme
Alexander Robertus Todd,Tätigkeit,Chemiker
Jolin Tsai,beeinflusst von,Madonna
William Styron,beeinflusst von,Mark Twain
Robin Williams,besuchte Bildungseinrichtung,Juilliard School
Neuseeland,diplomatische Beziehung,Fidschi
John Muir,Tätigkeit,Essayist
Joseph Fourier,Mitglied von,Académie française
Ulf Ekberg,gesprochene oder publizierte Sprachen,Schwedisch
Königreich der Niederlande,diplomatische Beziehung,Deutschland
Kambodscha,diplomatische Beziehung,Bangladesch
Edward Said,besuchte Bildungseinrichtung,Princeton University
André-Marie Ampère,Mitglied von,Académie des sciences
Little Richard,Instrument,Klavier
Milton Friedman,Tätigkeit,Essayist
Amy Lee,Tätigkeit,Sänger
Abraham Gotthelf Kästner,Tätigkeit,Schriftsteller
Snoop Dogg,Tätigkeit,Sänger
Polydor,Hauptverwaltung,London
Wladimir Iljitsch Lenin,Tätigkeit,Journalist
Isaac Hayes,Instrument,Orgel
Kurt Vonnegut,Mitglied von,American Academy of Arts and Letters
Jack White,Genre,Alternative Rock
Sri Lanka,Staat,portugiesisches Kolonialreich
Claude Lévi-Strauss,Tätigkeit,Pädagoge
Adolf Butenandt,Tätigkeit,Chemiker
James Taylor,Plattenlabel,Warner Bros. Records
Alexander Alexandrowitsch Bogdanow,Tätigkeit,Arzt
Felix Philipp Kanitz,Religionszugehörigkeit,Christentum
Walt Disney,Parteizugehörigkeit,Republikanische Partei
John Denver,Tätigkeit,Dichter
William H. Macy,Tätigkeit,Schriftsteller
Paul Anka,Land der Staatsangehörigkeit,Kanada
Jay-Z,Tätigkeit,Filmproduzent
Paul Langevin,Sterbeort,Paris
Jackson Browne,Genre,Country-Musik
Prince,Tätigkeit,Multiinstrumentalist
Albert Lortzing,Sterbeort,Berlin
Brandy,Land der Staatsangehörigkeit,Vereinigte Staaten
Henrich Steffens,Arbeitgeber,Friedrich-Schiller-Universität Jena
Bette Midler,Plattenlabel,Warner Bros. Records
Snoop Dogg,Tätigkeit,Sprecher
Senegal,Mitglied von,Vereinte Nationen
Niger,diplomatische Beziehung,Frankreich
Republik China,diplomatische Beziehung,Indien
Jennette McCurdy,Tätigkeit,Produzent
Äthiopien,diplomatische Beziehung,Israel
Julie Delpy,Tätigkeit,Singer-Songwriter
Tuvalu,Mitglied von,Internationale Bank für Wiederaufbau und Entwicklung
Mexiko,diplomatische Beziehung,Türkei
Ralph Vaughan Williams,gesprochene oder publizierte Sprachen,Englisch
Prosper Mérimée,gesprochene oder publizierte Sprachen,Russisch
Romain Rolland,Tätigkeit,Dramatiker
Vereinigte Staaten,diplomatische Beziehung,Rumänien
Südafrika,Mitglied von,UNESCO
Mstislaw Wsewolodowitsch Keldysch,gesprochene oder publizierte Sprachen,Russisch
Bahrain,diplomatische Beziehung,Vereinigte Staaten
David Hemmings,Tätigkeit,Schauspieler
Shaquille O’Neal,Plattenlabel,A&M Records
Henri Poincaré,Mitglied von,Russische Akademie der Wissenschaften
Türkei,Mitglied von,International Hydrographic Organization
Portugal,diplomatische Beziehung,Vereinigtes Königreich
John Ruskin,Tätigkeit,Hochschullehrer
Prag,Staat,Tschechoslowakei
Gabriel Marcel,gesprochene oder publizierte Sprachen,Französisch
Benedetto Croce,Tätigkeit,Literaturkritiker
Malaysia,diplomatische Beziehung,Venezuela
Lucy Liu,Tätigkeit,Maler
Salman Rushdie,Land der Staatsangehörigkeit,Vereinigtes Königreich
Erich Kästner,Tätigkeit,Drehbuchautor
Oprah Winfrey,Tätigkeit,Schriftsteller
Peter Handke,gesprochene oder publizierte Sprachen,Deutsch
Robin Williams,Tätigkeit,Bühnenschauspieler
Steve Allen,Tätigkeit,Komiker
John Mayer,Genre,Popmusik
Janis Ian,Instrument,Gitarre
Kap Verde,diplomatische Beziehung,Russland
Julie Delpy,Land der Staatsangehörigkeit,Frankreich
Nikolai Wladimirowitsch Fomenko,Tätigkeit,Hörfunkmoderator
Mosambik,Mitglied von,Internationale Fernmeldeunion
Karl Popper,Mitglied von,Accademia Nazionale dei Lincei
Richard Harris,Land der Staatsangehörigkeit,Irland
Holly Near,Tätigkeit,Schauspieler
Uruguay,diplomatische Beziehung,Australien
Paris Hilton,Tätigkeit,Model
Dominikanische Republik,ist Teil von,Hispanoamerika
Marokko,diplomatische Beziehung,Portugal
Sierra Leone,diplomatische Beziehung,Volksrepublik China
David Crosby,Instrument,Gitarre
Nick Cave,Tätigkeit,Librettist
Boris Borissowitsch Grebenschtschikow,Instrument,Mundharmonika
Zooey Deschanel,Genre,Popmusik
Todd Rundgren,Instrument,Bassgitarre
Juri Julianowitsch Schewtschuk,Land der Staatsangehörigkeit,Sowjetunion
Janet Jackson,Tätigkeit,Choreograf
David Attenborough,besuchte Bildungseinrichtung,University College London
Ukraine,diplomatische Beziehung,Weißrussland
Bangladesch,diplomatische Beziehung,Tadschikistan
Albert von Szent-Györgyi Nagyrápolt,Mitglied von,Deutsche Akademie der Naturforscher Leopoldina
Angola,Mitglied von,Multilaterale Investitions-Garantie-Agentur
Eric Burdon,Plattenlabel,Decca Records
Prince,Tätigkeit,Filmregisseur
Big Sean,Gründungsort,Detroit
Ernst Troeltsch,besuchte Bildungseinrichtung,Georg-August-Universität Göttingen
M. Pokora,Tätigkeit,Tänzer
Georges Cuvier,Tätigkeit,Professor
Peter Tork,Genre,Rockmusik
Honduras,diplomatische Beziehung,Vereinigte Staaten
Gottfried Wilhelm Leibniz,Geburtsort,Leipzig
Kelly Rowland,Land der Staatsangehörigkeit,Vereinigte Staaten
Gustav Landauer,Tätigkeit,Schriftsteller
,Darsteller,Mick Jagger
Deutschland,diplomatische Beziehung,Slowenien
Waleri Jakowlewitsch Leontjew,Genre,Dance-Pop
Nepal,diplomatische Beziehung,Bangladesch
Uruguay,Mitglied von,International Hydrographic Organization
Jacobus Henricus van ’t Hoff,Mitglied von,Königlich Schwedische Akademie der Wissenschaften
Karl Popper,Sterbeort,London
Brigitte Fontaine,Tätigkeit,Schauspieler
Czesław Miłosz,Tätigkeit,Pädagoge
Daniel Lanois,Genre,Pop-Rock
Gilbert Bécaud,Tätigkeit,Pianist
Benin,Mitglied von,Interpol
Kambodscha,Mitglied von,Vereinte Nationen
Lenny Kravitz,Bevölkerungsgruppe,Afroamerikaner
Søren Kierkegaard,gesprochene oder publizierte Sprachen,Deutsch
Litauen,diplomatische Beziehung,Ukraine
Connie Smith,Plattenlabel,Epic Records
Kenia,diplomatische Beziehung,Simbabwe
Noam Chomsky,Bevölkerungsgruppe,Aschkenasim
Volksrepublik China,diplomatische Beziehung,Kiribati
Costa Rica,diplomatische Beziehung,Australien
Adam Sandler,Tätigkeit,Sprecher
Joumana Haddad,Tätigkeit,Schriftsteller
Duke Ellington,Tätigkeit,Komponist
Indonesien,diplomatische Beziehung,Bangladesch
Sebastian Haffner,Wohnsitz,London
Eleanor Roosevelt,Tätigkeit,Schriftsteller
Miles Davis,Genre,Jazz
Maria Callas,Plattenlabel,EMI
Staat Palästina,diplomatische Beziehung,Iran
Mexiko,diplomatische Beziehung,Schweiz
Bolivien,diplomatische Beziehung,Volksrepublik China
Ruanda,Mitglied von,Internationale Finanz-Corporation
Sambia,Mitglied von,Entwicklungsgemeinschaft des südlichen Afrika
Nikolai Wassiljewitsch Gogol,Religionszugehörigkeit,Orthodoxe Kirchen
Kuba,diplomatische Beziehung,Ungarn
Iran,diplomatische Beziehung,Usbekistan
Irak,diplomatische Beziehung,Frankreich
Thailand,diplomatische Beziehung,Volksrepublik China
Paul Valéry,Mitglied von,Académie française
Method Man,Plattenlabel,Def Jam Recordings
John Farnham,Instrument,Schlaginstrument
Kuba,diplomatische Beziehung,Grenada
William H. Macy,Tätigkeit,Bühnenschauspieler
Luxemburg,diplomatische Beziehung,Frankreich
Vereinigte Staaten,diplomatische Beziehung,Tuvalu
Fritz Leiber junior,Bevölkerungsgruppe,Deutsche
Dietrich Fischer-Dieskau,Tätigkeit,Schriftsteller
Nauru,diplomatische Beziehung,Deutschland
Vereinigte Staaten,diplomatische Beziehung,Somalia
Kanada,diplomatische Beziehung,Russland
Jacques Derrida,besuchte Bildungseinrichtung,Universität von Paris
Paraguay,Mitglied von,Multilaterale Investitions-Garantie-Agentur
Margaret Atwood,Mitglied von,Royal Society of Literature
Gustav Robert Kirchhoff,Mitglied von,Akademie der Wissenschaften zu Göttingen
Südkorea,Mitglied von,Visa-Waiver-Programm
Melanie Chisholm,Tätigkeit,Komponist
J. J. Abrams,Wohnsitz,New York City
Kelly Rowland,Tätigkeit,Singer-Songwriter
Gustavo Cerati,Tätigkeit,Musiker
Ray Charles,Tätigkeit,Sänger
Haiti,Mitglied von,Internationales Zentrum zur Beilegung von Investitionsstreitigkeiten
Yul Brynner,Lebenspartner/-in,Marlene Dietrich
Tunesien,Mitglied von,
Michael Penn,Tätigkeit,Gitarrist
Oleg Skripka,Instrument,Stimme
Rita Lee,Tätigkeit,Gitarrist
Joe Walsh,Tätigkeit,Pianist
La Toya Jackson,Tätigkeit,Schauspieler
Mexiko,diplomatische Beziehung,Peru
Julio Cortázar,gesprochene oder publizierte Sprachen,Spanisch
Victor Hugo,Tätigkeit,Dramatiker
Robert Downey junior,Tätigkeit,Musiker
Sean Lennon,Instrument,Stimme
Island,Mitglied von,Weltpostverein
Philippinen,diplomatische Beziehung,Rumänien
Bernard-Henri Lévy,beeinflusst von,André Malraux
Stacie Orrico,Tätigkeit,Schauspieler
Norman Mailer,Tätigkeit,Schriftsteller
Konstantin Eduardowitsch Ziolkowski,Land der Staatsangehörigkeit,Sowjetrussland
Philip Roth,Tätigkeit,Romancier
Jack White,Tätigkeit,Singer-Songwriter
Michael Nesmith,Instrument,Gitarre
Bob Mould,Tätigkeit,Sänger
Fred Hoyle,Todesursache,Schlaganfall
Drake Bell,Tätigkeit,Filmschauspieler
Trinidad und Tobago,Mitglied von,Karibische Entwicklungsbank
Grenada,Mitglied von,Internationale Entwicklungsorganisation
Hannes Alfvén,Mitglied von,American Academy of Arts and Sciences
Brasilien,diplomatische Beziehung,Vereinigte Staaten
Gerald Wilson,Tätigkeit,Dirigent
Karlheinz Stockhausen,Tätigkeit,Hochschullehrer
Doc Watson,Tätigkeit,Singer-Songwriter
Charles Bukowski,beeinflusst von,D. H. Lawrence
Friedrich Carl von Savigny,Land der Staatsangehörigkeit,Königreich Preußen
Monaco,Mitglied von,Organisation für Sicherheit und Zusammenarbeit in Europa
"William Thomson, 1. Baron Kelvin",Mitglied von,Königlich Schwedische Akademie der Wissenschaften
Kylie Minogue,gesprochene oder publizierte Sprachen,Englisch
John Turturro,Land der Staatsangehörigkeit,Italien
David Hume,Mitglied von,Royal Society of Edinburgh
Johann Christoph Gottsched,Mitglied von,Preußische Akademie der Wissenschaften
Philip Pullman,Tätigkeit,Schriftsteller
Norwegen,diplomatische Beziehung,Frankreich
Golo Mann,Geburtsort,München
Michael Bublé,Tätigkeit,Songschreiber
Dolly Parton,Tätigkeit,Geschäftsmann
Charles Mingus,Plattenlabel,Mercury Records
Dmitri Alexejewitsch Gluchowski,Tätigkeit,Journalist
Chile,diplomatische Beziehung,Vereinigtes Königreich
David Attenborough,Mitglied von,American Academy of Arts and Sciences
Norman Wisdom,Instrument,Stimme
Peter Drucker,Tätigkeit,Hochschullehrer
al-Biruni,Arbeitsgebiet,Chemie
Elizabeth Bishop,Tätigkeit,Hochschullehrer
Jamaika,diplomatische Beziehung,Republik China
Philippinen,diplomatische Beziehung,Kuba
Margaret Atwood,gesprochene oder publizierte Sprachen,Englisch
Alan Stivell,Plattenlabel,Sony Music
Kelly Clarkson,Plattenlabel,RCA Records
Irene Cara,Geburtsort,New York City
Cass Elliot,Tätigkeit,Sänger
Alexander Rybak,Instrument,Klavier
Israel,Mitglied von,OECD
Satyajit Ray,gesprochene oder publizierte Sprachen,Englisch
Singapur,diplomatische Beziehung,Japan
Mexiko,Mitglied von,Welthandelsorganisation
John Cale,Instrument,Synthesizer
Augustinus von Hippo,Tätigkeit,Autobiograf
Golo Mann,Land der Staatsangehörigkeit,Deutschland
Sergei Wladimirowitsch Michalkow,Sterbeort,Moskau
Ingrid Michaelson,Tätigkeit,Gitarrist
Usher,Tätigkeit,Geschäftsmann
Myanmar,Mitglied von,Vereinte Nationen
Viktor Hambarzumjan,Land der Staatsangehörigkeit,Armenien
Tinashe Kachingwe,Tätigkeit,Singer-Songwriter
Michael Jackson,beeinflusst von,Diana Ross
Thailand,Mitglied von,Internationale Fernmeldeunion
Australien,Bevölkerungsgruppe,Deutsche
Camillo Golgi,Tätigkeit,Biologe
Phil Harris,Tätigkeit,Filmschauspieler
Dominikanische Republik,Mitglied von,Organismo para la Proscripción de las Armas Nucleares en la América Latina y el Caribe
Lauren Bacall,Tätigkeit,Schriftsteller
Jô Soares,Land der Staatsangehörigkeit,Brasilien
Brasilien,Amtssprache,Portugiesisch
Neil Patrick Harris,Tätigkeit,Sänger
Bahamas,Mitglied von,UNESCO
Frédéric Joliot-Curie,Mitglied von,Ungarische Akademie der Wissenschaften
Katharine McPhee,Tätigkeit,Schauspieler
Michel Legrand,Genre,Jazz
Penny Marshall,Land der Staatsangehörigkeit,Vereinigte Staaten
Malawi,diplomatische Beziehung,Mosambik
Carl Friedrich von Weizsäcker,besuchte Bildungseinrichtung,Georg-August-Universität Göttingen
Little Richard,Tätigkeit,Aufnahmekünstler
Portugal,Amtssprache,Portugiesisch
Ecuador,diplomatische Beziehung,Deutschland
Kurt Weill,Tätigkeit,Pädagoge
George Sand,Bevölkerungsgruppe,Franzosen
Wallace Shawn,Tätigkeit,Schriftsteller
Harry Chapin,Tätigkeit,Songschreiber
Lucy Liu,Tätigkeit,Sänger
Berlin,Staat,Deutsches Kaiserreich
Ingmar Bergman,Lebenspartner/-in,Liv Ullmann
Usher,Tätigkeit,Filmregisseur
Ricky Gervais,Tätigkeit,Hörfunkmoderator
Alphonse Daudet,Begräbnisort,Père-Lachaise
Carly Simon,Land der Staatsangehörigkeit,Vereinigte Staaten
Ashanti,Tätigkeit,Musiker
Donny Hathaway,Instrument,Klavier
Georg Lukács,Mitglied von,Akademie der Wissenschaften der DDR
Australien,diplomatische Beziehung,Tansania
Shen Kuo,Arbeitsgebiet,Mathematik
Republik China,diplomatische Beziehung,Marshallinseln
Bertolt Brecht,Land der Staatsangehörigkeit,Deutsche Demokratische Republik
Karel Jaromír Erben,Land der Staatsangehörigkeit,Österreich-Ungarn
Carrie Underwood,Tätigkeit,Fernsehschauspieler
Sudan,diplomatische Beziehung,Bulgarien
Shel Silverstein,Instrument,Stimme
Oman,Mitglied von,UNESCO
Satyajit Ray,Land der Staatsangehörigkeit,Indien
Rumänien,diplomatische Beziehung,Malaysia
Julie Delpy,Tätigkeit,Filmeditor
Jean Yanne,Tätigkeit,Fernsehschauspieler
Tristan Tzara,Begräbnisort,Cimetière Montparnasse
Republik Moldau,Mitglied von,Organisation für das Verbot chemischer Waffen
Philip Roth,Genre,Roman
Andrei Gubin,Instrument,Stimme
David Lynch,gesprochene oder publizierte Sprachen,Englisch
Mandy Moore,Land der Staatsangehörigkeit,Vereinigte Staaten
Friedrich Wilhelm Joseph Schelling,besuchte Bildungseinrichtung,Universität Leipzig
Erika Mann,Land der Staatsangehörigkeit,Vereinigtes Königreich
Courtney Love,Land der Staatsangehörigkeit,Vereinigte Staaten
Mexiko,diplomatische Beziehung,Israel
Republik China,diplomatische Beziehung,Tunesien
Türkei,diplomatische Beziehung,Polen
Wole Soyinka,Tätigkeit,Professor
Anna Andrejewna Achmatowa,Tätigkeit,Dichter
Brandy,Tätigkeit,Komponist
Randy Newman,Parteizugehörigkeit,Demokratische Partei
David Bowie,Land der Staatsangehörigkeit,Vereinigtes Königreich
Philip Glass,besuchte Bildungseinrichtung,Juilliard School
Chris Cornell,Tätigkeit,Sänger
Vladimir Nabokov,gesprochene oder publizierte Sprachen,Russisch
June Carter Cash,Instrument,Stimme
Jordanien,Mitglied von,Interpol
Willie Nelson,Tätigkeit,Gitarrist
Deborah Harry,Tätigkeit,Filmproduzent
Ägypten,diplomatische Beziehung,Uruguay
